Franchise,Conference,Win,Lost,WinPercentage,GamesBehind,ConferenceRecord,DivisionRecord,HomeRecord,RoadRecord,OverTimeRecord,Last10Record,Streak
Atlanta Hawks,Eastern,29,53,0.354,31,16-36,6-10,17-24,12-29,3-1,5-5,L 3
Atlanta Hawks,Eastern,20,47,0.299,33,11-32,6-7,14-20,6-27,2-4,4-6,L 1
Atlanta Hawks,Eastern,24,58,0.293,35,12-40,5-11,16-25,8-33,0-1,3-7,L 1
Atlanta Hawks,Eastern,48,34,0.585,9,29-23,8-8,27-14,21-20,0-5,6-4,L 2
Atlanta Hawks,Eastern,43,39,0.524,10,30-22,6-10,23-18,20-21,5-0,6-4,L 1
Atlanta Hawks,Eastern,12,16,0.429,6.5,8-9,1-2,6-9,6-7,1-1,3-7,W 1
Boston Celtics,Eastern,53,29,0.646,0,36-16,11-5,30-11,23-18,2-1,7-3,W 3
Boston Celtics,Eastern,55,27,0.671,4,33-19,12-4,27-14,28-13,2-2,6-4,W 1
Boston Celtics,Eastern,48,24,0.667,7.5,30-13,9-6,26-10,22-14,2-3,6-4,L 1
Boston Celtics,Eastern,49,33,0.598,11,35-17,10-6,28-13,21-20,4-0,6-4,W 1
Boston Celtics,Eastern,48,34,0.585,9,31-21,10-6,28-13,20-21,1-2,6-4,W 1
Boston Celtics,Eastern,14,14,0.5,4.5,10-9,2-4,7-5,7-9,0-0,4-6,L 1
Brooklyn Nets,Eastern,28,54,0.341,31,19-33,1-15,15-26,13-28,1-5,5-5,L 1
Brooklyn Nets,Eastern,21,61,0.256,36,12-40,6-10,14-27,7-34,1-2,0-10,L 10
Brooklyn Nets,Eastern,20,62,0.244,33,11-41,3-13,13-28,7-34,1-1,5-5,L 2
Brooklyn Nets,Eastern,42,40,0.512,18,29-23,8-8,23-18,19-22,5-2,6-4,W 3
Brooklyn Nets,Eastern,35,37,0.486,20.5,23-23,6-10,20-16,15-21,3-5,7-3,L 1
Brooklyn Nets,Eastern,19,12,0.613,1,10-9,3-2,11-5,8-7,1-2,6-4,W 5
Charlotte Hornets,Eastern,23,42,0.354,29,16-24,2-7,10-21,13-21,2-3,4-6,W 1
Charlotte Hornets,Eastern,36,46,0.439,23,22-30,11-5,21-20,15-26,2-2,5-5,W 1
Charlotte Hornets,Eastern,36,46,0.439,17,22-30,10-6,22-19,14-27,0-6,4-6,L 5
Charlotte Hornets,Eastern,39,43,0.476,21,29-23,10-6,25-16,14-27,1-4,6-4,L 1
Charlotte Hornets,Eastern,48,34,0.585,9,33-19,8-8,30-11,18-23,5-0,7-3,W 2
Charlotte Hornets,Eastern,13,15,0.464,5.5,9-9,5-1,8-8,5-7,1-1,6-4,L 1
Chicago Bulls,Eastern,22,43,0.338,30,15-28,7-9,14-20,8-23,1-2,3-7,W 1
Chicago Bulls,Eastern,22,60,0.268,38,16-36,3-13,9-32,13-28,3-2,2-8,L 3
Chicago Bulls,Eastern,27,55,0.329,32,21-31,4-12,17-24,10-31,2-3,3-7,L 4
Chicago Bulls,Eastern,42,40,0.512,15,25-27,10-6,26-15,16-25,2-4,6-4,W 3
Chicago Bulls,Eastern,41,41,0.5,12,28-24,9-7,25-16,16-25,2-2,7-3,W 2
Chicago Bulls,Eastern,12,15,0.444,6,7-7,2-2,5-9,7-6,1-1,5-5,W 2
Cleveland Cavaliers,Eastern,57,25,0.695,0,35-17,8-8,33-8,24-17,3-3,6-4,L 1
Cleveland Cavaliers,Eastern,19,63,0.232,41,15-37,4-12,13-28,6-35,0-1,0-10,L 10
Cleveland Cavaliers,Eastern,19,46,0.292,33,12-32,4-10,11-25,8-21,4-1,4-6,L 1
Cleveland Cavaliers,Eastern,51,31,0.622,2,35-17,8-8,31-10,20-21,3-4,4-6,L 4
Cleveland Cavaliers,Eastern,50,32,0.61,9,35-17,11-5,29-12,21-20,2-0,7-3,L 1
Cleveland Cavaliers,Eastern,10,19,0.345,9,8-9,2-4,7-7,3-12,2-1,1-9,L 8
Dallas Mavericks,Western,33,49,0.402,34,19-33,5-11,21-20,12-29,2-2,2-8,W 1
Dallas Mavericks,Western,24,58,0.293,41,14-38,5-11,15-26,9-32,0-5,2-8,L 4
Dallas Mavericks,Western,33,49,0.402,24,18-34,4-12,24-17,9-32,1-3,5-5,L 1
Dallas Mavericks,Western,42,40,0.512,31,27-25,7-9,23-18,19-22,8-4,7-3,L 1
Dallas Mavericks,Western,43,32,0.573,11,27-20,10-4,20-18,23-14,3-4,4-6,L 2
Dallas Mavericks,Western,13,15,0.464,10.5,7-10,3-1,6-8,7-7,1-1,5-5,L 1
Denver Nuggets,Western,54,28,0.659,3,34-18,12-4,34-7,20-21,2-0,5-5,W 1
Denver Nuggets,Western,46,27,0.63,7,29-16,12-2,26-11,20-16,5-3,4-6,L 3
Denver Nuggets,Western,33,49,0.402,40,18-34,4-12,18-23,15-26,2-4,3-7,L 2
Denver Nuggets,Western,46,36,0.561,19,28-24,9-7,31-10,15-26,3-4,7-3,L 1
Denver Nuggets,Western,40,42,0.488,27,24-28,6-10,22-19,18-23,0-3,5-5,W 2
Denver Nuggets,Western,15,13,0.536,8.5,11-9,5-1,8-6,7-7,2-2,4-6,L 2
Detroit Pistons,Eastern,41,41,0.5,19,27-25,8-8,26-15,15-26,5-2,4-6,W 2
Detroit Pistons,Eastern,44,38,0.537,13,29-23,10-6,26-15,18-23,4-1,6-4,W 1
Detroit Pistons,Eastern,37,45,0.451,16,21-31,5-11,24-17,13-28,3-1,3-7,L 2
Detroit Pistons,Eastern,20,46,0.303,32.5,12-31,5-10,11-22,9-24,1-4,1-9,L 5
Detroit Pistons,Eastern,39,43,0.476,20,24-28,9-7,25-16,14-27,1-4,7-3,W 1
Detroit Pistons,Eastern,8,20,0.286,10.5,5-12,0-7,6-8,2-12,1-3,4-6,L 1
Golden State Warriors,Western,57,25,0.695,0,35-17,13-3,30-11,27-14,0-5,8-2,L 1
Golden State Warriors,Western,67,15,0.817,0,42-10,14-2,36-5,31-10,0-3,9-1,W 1
Golden State Warriors,Western,73,9,0.89,0,46-6,15-1,39-2,34-7,6-1,8-2,W 4
Golden State Warriors,Western,15,50,0.231,34,9-34,2-11,8-26,7-24,0-5,3-7,L 1
